2020-02-14 14:50:38,751 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:50:38,752 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:50:38,754 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:50:38,757 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:50:38,757 [Worker-110] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of formJSON
2020-02-14 14:50:38,758 [Worker-110] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for formJSON
2020-02-14 14:50:38,762 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:52:50,234 [Worker-116] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: formation.cgi:webmaventest1:1.0-SNAPSHOT @ C:\Users\utilisateur\Desktop\JavaProjects\workspaceJSP\ProjetResto\pom.xml.
2020-02-14 14:52:50,698 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:52:50,700 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:52:50,702 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:52:50,702 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:52:51,768 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:52:51,769 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:52:51,770 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:52:51,771 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:52:54,206 [Worker-112] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: formation.cgi:webmaventest1:1.0-SNAPSHOT @ C:\Users\utilisateur\Desktop\JavaProjects\workspaceJSP\ProjetResto\pom.xml.
2020-02-14 14:52:54,388 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:52:54,390 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:52:54,393 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:52:54,396 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:01,302 [Worker-126] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: formation.cgi:JSONProject:1.0-SNAPSHOT @ C:\Users\utilisateur\Desktop\JavaProjects\workspaceJSP\ProjetResto\pom.xml.
2020-02-14 14:53:01,496 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:01,497 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:01,499 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:01,500 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:17,614 [Worker-125] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: formation.cgi:JSONProject:1.0-SNAPSHOT @ C:\Users\utilisateur\Desktop\JavaProjects\workspaceJSP\ProjetResto\pom.xml.
2020-02-14 14:53:18,130 [Worker-125] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:18,132 [Worker-125] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:18,134 [Worker-125] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:18,134 [Worker-125] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:18,135 [Worker-125] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of formJSON
2020-02-14 14:53:18,135 [Worker-125] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for formJSON
2020-02-14 14:53:18,137 [Worker-125] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:19,194 [Worker-125] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:19,194 [Worker-125] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:19,195 [Worker-125] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:19,196 [Worker-125] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:28,818 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:28,819 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:53:28,821 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:53:28,822 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:54:06,202 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:54:06,203 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:54:06,204 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-14 14:54:06,205 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-02-14 14:54:23,814 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
